,3.5,1.4,0.2,Iris-setosa
4.9, ,1.4,0.2,Iris-setosa
4.7,-,Na,0.2,Iris-setosa
4.6,3.1,1.5,NAN,Iris-setosa
5.0,3.6,1.4,0.2,Iris-setosa
5.4,3.9,,0.4,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
5.0,3.4,1.5,0.2,Iris-setosa
,2.9,1.4,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.7,2.9,4.2,1.3,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
5.1,2.5,3.0,1.1,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor
6.3,3.3,6.0,2.5,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
,3.0,5.9,2.1,Iris-virginica
6.5,2.9,5.6,1.8,Iris-virginica
7.2,3.0,5.8,2.2,Iris-virginica
8.1,3.0,5.1,1.8,Iris-virginica
